sessionId,appId,gameName,sessionStart,sessionEnd,videoId,unlockEpoch,achievementApiName,displayName,rarity,zCubes
85c65be371ff,1271700,HOT WHEELS UNLEASHED™,2026-04-16T15:15:16.691Z,2026-04-16T15:59:24.651Z,y92-SMeTpQc,2026-04-16T15:24:50.000Z,ML_ACHIEVEMENT_18,Tell no one,14.4,86
85c65be371ff,1271700,HOT WHEELS UNLEASHED™,2026-04-16T15:15:16.691Z,2026-04-16T15:59:24.651Z,y92-SMeTpQc,2026-04-16T15:49:03.000Z,ML_ACHIEVEMENT_13,I need more!,16.1,84
30f5655d7389,620,Portal 2,2026-04-09T20:27:03.331Z,2026-04-16T23:14:52.303Z,jsfOaUuVSis,2026-04-16T23:01:21.000Z,ACH.TRACTOR_BEAM,Tunnel of Funnel,35.1,65
f4980ead72b0,2416450,MOUSE: P.I. For Hire,2026-04-19T12:45:27.579Z,2026-04-19T14:25:35.240Z,-eiXGi9Rjd4,2026-04-19T13:25:41.000Z,ACHIEVEMENT_041,Hole-y Trinity,53.5,47
f4980ead72b0,2416450,MOUSE: P.I. For Hire,2026-04-19T12:45:27.579Z,2026-04-19T14:25:35.240Z,-eiXGi9Rjd4,2026-04-19T13:34:56.000Z,ACHIEVEMENT_032,Pocket Aces,39.6,60
f4980ead72b0,2416450,MOUSE: P.I. For Hire,2026-04-19T12:45:27.579Z,2026-04-19T14:25:35.240Z,-eiXGi9Rjd4,2026-04-19T13:59:46.000Z,ACHIEVEMENT_026,Goud’em!,59.8,40
f6e7762ed4cd,221810,The Cave,2026-04-19T14:32:40.557Z,2026-04-19T15:12:34.769Z,5ebzzv0zhjQ,2026-04-19T15:04:03.000Z,Achv_WellDone,Well Done,6.6,93
8282aadfdd50,1410640,Syberia: The World Before,2026-04-19T17:01:16.703Z,2026-04-19T18:28:22.579Z,FIq7mP5XQGw,2026-04-19T17:17:37.000Z,Trophy_DanaDrawing,Leave a trace…,54.3,46
8282aadfdd50,1410640,Syberia: The World Before,2026-04-19T17:01:16.703Z,2026-04-19T18:28:22.579Z,FIq7mP5XQGw,2026-04-19T17:18:41.000Z,Trophy_FirstSecObj,Parallel investigation,74.9,25
8282aadfdd50,1410640,Syberia: The World Before,2026-04-19T17:01:16.703Z,2026-04-19T18:28:22.579Z,FIq7mP5XQGw,2026-04-19T18:28:22.000Z,Trophy_Freedom,Freedom,68.1,32
0603d6641160,2561580,Horizon Zero Dawn™ Remastered,2026-04-20T19:52:02.604Z,2026-04-20T21:45:00.885Z,Xp_q7RhR-3c,2026-04-20T20:42:26.000Z,followedrost_steachings,Followed Rost's teachings,75.1,25
08ce690ef3e0,2561580,Horizon Zero Dawn™ Remastered,2026-04-20T21:49:54.626Z,2026-04-20T22:28:20.868Z,y_8wIrG-yAQ,2026-04-20T22:08:48.000Z,firstmodification,First Modification,63.6,36
f9bd6d1086b2,1410640,Syberia: The World Before,2026-04-21T00:48:07.563Z,2026-04-21T02:51:54.647Z,DHaJjf8FyNw,2026-04-21T01:11:22.000Z,Trophy_FirstClue,First clue,63.6,36
f9bd6d1086b2,1410640,Syberia: The World Before,2026-04-21T00:48:07.563Z,2026-04-21T02:51:54.647Z,DHaJjf8FyNw,2026-04-21T01:41:06.000Z,Trophy_Antiquarian,The antique dealer,60.7,39
9ee82a11f523,1410640,Syberia: The World Before,2026-04-21T04:00:06.064Z,2026-04-21T16:55:25.520Z,gAwOA1llmjo,2026-04-21T14:08:10.000Z,Trophy_Spyglass,Tourism,44.2,56
9ee82a11f523,1410640,Syberia: The World Before,2026-04-21T04:00:06.064Z,2026-04-21T16:55:25.520Z,gAwOA1llmjo,2026-04-21T14:35:09.000Z,Trophy_Loyal,Loyal,50.5,50
9ee82a11f523,1410640,Syberia: The World Before,2026-04-21T04:00:06.064Z,2026-04-21T16:55:25.520Z,gAwOA1llmjo,2026-04-21T15:14:45.000Z,Trophy_Refuge,The refuge,53.8,46
9ee82a11f523,1410640,Syberia: The World Before,2026-04-21T04:00:06.064Z,2026-04-21T16:55:25.520Z,gAwOA1llmjo,2026-04-21T15:27:43.000Z,Trophy_MagicMountain,A classic novel,48.5,52
9ee82a11f523,1410640,Syberia: The World Before,2026-04-21T04:00:06.064Z,2026-04-21T16:55:25.520Z,gAwOA1llmjo,2026-04-21T15:55:29.000Z,Trophy_DombreHostel,A stressful night,52.2,48
9ee82a11f523,1410640,Syberia: The World Before,2026-04-21T04:00:06.064Z,2026-04-21T16:55:25.520Z,gAwOA1llmjo,2026-04-21T16:01:25.000Z,Trophy_OldFriend,Back together again,52,48
fd4cac30ea94,1410640,Syberia: The World Before,2026-04-21T19:13:54.954Z,2026-04-22T05:06:38.168Z,x56C82VDziM,2026-04-22T03:08:23.000Z,Trophy_MusicAcademy,The final concert,48.4,52
fd4cac30ea94,1410640,Syberia: The World Before,2026-04-21T19:13:54.954Z,2026-04-22T05:06:38.168Z,x56C82VDziM,2026-04-22T05:06:38.000Z,Trophy_PhotoRoom,Where is her bedroom?,34.4,66
bf5f032b0671,2281940,The Mobius Machine,2026-04-22T22:37:51.757Z,2026-04-22T23:25:11.783Z,,2026-04-22T22:39:18.000Z,first_blood,First Blood,98.2,2
bf5f032b0671,2281940,The Mobius Machine,2026-04-22T22:37:51.757Z,2026-04-22T23:25:11.783Z,,2026-04-22T22:55:42.000Z,sky_knight,Sky Knight,70.1,30
bf5f032b0671,2281940,The Mobius Machine,2026-04-22T22:37:51.757Z,2026-04-22T23:25:11.783Z,,2026-04-22T23:19:12.000Z,crafter,Crafter,66.4,34
7545eaf528df,1290760,Gecko Gods,2026-04-23T03:21:36.500Z,2026-04-23T04:09:53.631Z,2zG5GUOa0_w,2026-04-23T03:30:14.000Z,COMPLETE_TUTORIAL,Mysterious Caves,94.4,6
7545eaf528df,1290760,Gecko Gods,2026-04-23T03:21:36.500Z,2026-04-23T04:09:53.631Z,2zG5GUOa0_w,2026-04-23T04:08:10.000Z,OBTAIN_BOAT,Setting Sail,70.5,30
e88c6aa31f20,2892040,The Shadowed Rune,2026-04-23T16:44:25.017Z,2026-04-23T17:45:24.554Z,r9DB7-TfAxs,2026-04-23T17:05:13.000Z,CHAPTER_0,Complete the Prologue,48.9,51
e88c6aa31f20,2892040,The Shadowed Rune,2026-04-23T16:44:25.017Z,2026-04-23T17:45:24.554Z,r9DB7-TfAxs,2026-04-23T17:34:09.000Z,EXPLORER_1,Explorer,32.4,68
fd9f0815ee6c,268910,Cuphead,2026-04-22T19:46:41.788Z,2026-04-23T23:57:09.176Z,C7pBHIUFiog,2026-04-23T23:22:03.000Z,DefeatBossDLCWeapon,The Latest Sensation,12.3,88
4bd2169c2000,1646790,Striving for Light,2026-04-25T00:03:38.153Z,2026-04-25T00:29:52.993Z,mtAUt0dYlg8,2026-04-25T00:09:22.000Z,ACHIEV_FIND_SECRET_BASEMENT,The secret basement,44.6,55
4bd2169c2000,1646790,Striving for Light,2026-04-25T00:03:38.153Z,2026-04-25T00:29:52.993Z,mtAUt0dYlg8,2026-04-25T00:09:39.000Z,ACHIEV_FIRST_DEATH,Every beginning is hard,55.1,45
4bd2169c2000,1646790,Striving for Light,2026-04-25T00:03:38.153Z,2026-04-25T00:29:52.993Z,mtAUt0dYlg8,2026-04-25T00:11:27.000Z,ACHIEV_DEFEAT_GRIDE,Gride,37.2,63
85189cacc82e,4262310,All Hail the Orb,2026-04-25T22:47:42.027Z,2026-04-26T01:37:55.687Z,_Ioy4LPd58U,2026-04-25T22:50:42.000Z,ACH_CLICK_ORB_ONCE,What does this thing do?,98.8,1
85189cacc82e,4262310,All Hail the Orb,2026-04-25T22:47:42.027Z,2026-04-26T01:37:55.687Z,_Ioy4LPd58U,2026-04-25T22:51:20.000Z,ACH_DEVOTION_100,"Just the early stages, devote more!",98.5,2
85189cacc82e,4262310,All Hail the Orb,2026-04-25T22:47:42.027Z,2026-04-26T01:37:55.687Z,_Ioy4LPd58U,2026-04-25T22:54:15.000Z,ACH_DEVOTION_1K,You care this much already?,98,2
